songId,title,artist,album,albumId,cover
"28692519","Photograph","Ed Sheeran","x (Deluxe Edition)","2840023","109951168544414132.jpg"
"1855475139","Bad Habits","Ed Sheeran","Bad Habits","129369430","109951166300257339.jpg"
"1876212794","Shivers","Ed Sheeran","Shivers","132878623","109951166364187589.jpg"
"441120471","That's What I Like","Bruno Mars","24K Magic","34898697","109951166232338422.jpg"
"433681259","24K Magic","Bruno Mars","24K Magic","34898697","109951166232338422.jpg"
"27514868","Grenade","Bruno Mars","Grenade","2623215","109951163220488465.jpg"
"1830422741","Ghost","Justin Bieber","Justice (中国豪华特别版)","123858074","109951165835207944.jpg"
"36921365","Stitches","Shawn Mendes","Handwritten (Revisited)","3414123","109951166110737836.jpg"
"415904452","Treat You Better","Shawn Mendes","Treat You Better","34726351","1391981732024962.jpg"
"27896574","Story of My Life","One Direction","Story of My Life","2692023","109951165968719290.jpg"
"29719175","Night Changes","One Direction","Four","3003016","109951165969533755.jpg"
"18981962","Last Friday Night (T.G.I.F.)","Katy Perry","Teenage Dream: The Complete Confection","1738881","109951169008316205.jpg"
"27731239","Dark Horse","Katy Perry / Juicy J","Dark Horse","2667031","109951163071997284.jpg"
"1386002735","Bad Romance","Lady Gaga","The Fame Monster","81098777","109951173114580801.jpg"
"2677295798","Paparazzi","Lady Gaga","cleaning my room while dancing","263586825","109951170503889688.jpg"
"21373645","Just Give Me a Reason","P!nk / Nate Ruess","The Truth About Love","1973200","109951167487398037.jpg"
"16434100","If I Ain't Got You","Alicia Keys","If I Ain't Got You","1515264","759762534800468.jpg"
"2188283","If I Were a Boy","Beyoncé","I Am... Sasha Fierce (Deluxe Version)","220719","109951166050151637.jpg"
"504265014","Dusk Till Dawn","ZAYN / Sia","Dusk Till Dawn","36150011","109951165982469757.jpg"
"26243686","Young And Beautiful","Lana Del Rey","Young And Beautiful","2431159","109951169391591138.jpg"
"16593589","Summertime Sadness","Lana Del Rey","Born To Die (Deluxe Version)","1530458","109951171770409475.jpg"
"1306995079","7 Years","Lukas Graham","Holiday Songs","72935773","109951163909496426.jpg"
"1386693749","Dance Monkey","Tones and I","The Kids Are Coming","81159672","109951164323457413.jpg"
"1832581859","Señorita","Shawn Mendes / Camila Cabello","Straight Up Anthems","125187702","109951168209731217.jpg"
"458697629","I Don’t Wanna Live Forever (Fifty Shades Darker)","ZAYN / Taylor Swift","Fifty Shades Darker (Original Motion Picture Soundtrack)","35150419","18735678139081268.jpg"
"34497413","Waka Waka (This Time for Africa)","Shakira / Freshlyground","Happiness Forever","3286133","109951165972560991.jpg"
"24603573","Hips Don't Lie","Shakira Ft. Wyclef Jean","Now That's What I Call The 00's","2189684","825733232489109.jpg"
"5253802","Unwritten","Natasha Bedingfield","Cf, Movie & Drama Hits 广告，开麦拉！","511973","92358976750445.jpg"
"416903659","Fight Song","Rachel Platten","Ultimate... Summer","34734362","18011099974740454.jpg"
"26377216","Marry You","Bruno Mars","Love Songs","2468522","2333163674194267.jpg"
"1331707956","Havana","Camila Cabello / Young Thug","New Year's Eve - NYE 2018/2019","74799733","109951165970660548.jpg"
