"id","title","artist","apiName","apiArtist","match"
"480426313","There For You","Martin Garrix / Troye Sivan","There For You","Martin Garrix/Troye Sivan","MISMATCH"
"439076364","Solo Dance","Martin Jensen","Solo Dance","Martin Jensen","EXACT"
"17706562","Good Time","Owl City / Carly Rae Jepsen","Good Time","Owl City/Carly Rae Jepsen","MISMATCH"
"515269424","Wolves","Selena Gomez / Marshmello","Wolves","Selena Gomez/Marshmello","MISMATCH"
"1297498908","Walk Thru Fire","Vicetone / Meron Ryan","Walk Thru Fire","Vicetone/Meron Ryan","MISMATCH"
"3313334","We Found Love","Rihanna / Calvin Harris","We Found Love","Rihanna/Calvin Harris","MISMATCH"
"423228325","Closer","The Chainsmokers / Halsey","Closer","The Chainsmokers/Halsey","MISMATCH"
"461347998","Something Just Like This","The Chainsmokers / Coldplay","Something Just Like This","The Chainsmokers/Coldplay","MISMATCH"
"18637990","Beauty And A Beat","Justin Bieber / Nicki Minaj","Beauty And A Beat","Justin Bieber/Nicki Minaj","MISMATCH"
"35847559","Sorry","Justin Bieber","Sorry","Justin Bieber","EXACT"
"34228719","What Do You Mean?","Justin Bieber","What Do You Mean?","Justin Bieber","EXACT"
"16435051","Rolling in the Deep","Adele","Rolling in the Deep","Adele","EXACT"
"2188235","Halo","Beyoncé","Halo","Beyoncé","EXACT"
"1830419924","Peaches","Justin Bieber / Daniel Caesar / GIVON","Peaches","Justin Bieber/Daniel Caesar/GIVĒON","MISMATCH"
"29722263","Uptown Funk","Mark Ronson / Bruno Mars","Uptown Funk","Mark Ronson/Bruno Mars","MISMATCH"
"2004562490","Kill Bill","SZA","Kill Bill","SZA","EXACT"
"21563184","Diamonds","Rihanna","Diamonds","Rihanna","EXACT"
"21563094","Umbrella","Rihanna / JAY-Z","Umbrella","Rihanna/JAŸ-Z","MISMATCH"
"5100769","Nothing On You","B.o.B / Bruno Mars","Nothing On You","B.o.B/Bruno Mars","MISMATCH"
"17793698","Whistle","Flo Rida","Whistle","Flo Rida","EXACT"
"21157332","One Day","Matisyahu","One Day","Matisyahu","EXACT"
"30953009","See You Again","Wiz Khalifa / Charlie Puth","See You Again","Wiz Khalifa/Charlie Puth","MISMATCH"
"1297841","Love The Way You Lie","Eminem / Rihanna","Love The Way You Lie","Eminem/Rihanna","MISMATCH"
"27902187","The Monster","Eminem / Rihanna","The Monster","Eminem/Rihanna","MISMATCH"
"17177324","Yellow","Coldplay","Yellow","Coldplay","EXACT"
"1338149101","Believer","Imagine Dragons","Believer","Imagine Dragons/Lil Wayne","MISMATCH"
"2870985","Stronger","Kelly Clarkson","Stronger (What Doesn't Kill You)","Kelly Clarkson","MISMATCH"
"1349964388","Running Up That Hill","Meg Myers","Running Up That Hill","Meg Myers","EXACT"
"19292799","State Of Grace","Taylor Swift","State Of Grace","Taylor Swift","EXACT"
"27896566","Bitchin' Summer","Avril Lavigne","Bitchin' Summer","Avril Lavigne","EXACT"
"26145391","Here's to Never Growing Up","Avril Lavigne","Here's To Never Growing Up","Avril Lavigne","EXACT"
"3370511577","drop dead","Olivia Rodrigo","drop dead","Olivia Rodrigo","EXACT"
"3392742809","stupid song","Olivia Rodrigo","stupid song","Olivia Rodrigo","EXACT"
"21803604","Apologize","OneRepublic","Apologize","Timbaland/OneRepublic","MISMATCH"
"26060065","Counting Stars","OneRepublic","Counting Stars","OneRepublic","EXACT"
