318	Waiting For Love	Avicii	Waiting For Love	Avicii	Live A Life You Will Remember	
319	Slow Down	Madnap	Slow Down（放缓）	Madnap / Pauline Herr	Slow Down	03:23
320	There For You	Martin Garrix	There For You（守候）	Martin Garrix / Troye Sivan	There For You	03:41
321	The Way I Still Love You	Reynard Silva	The Way I Still Love You（就像我还爱你一样）	Reynard Silva	Reynard Silva	03:48
322	Closer	The Chainsmokers	Closer	The Chainsmokers / Halsey	Closer	04:04
323	Someone You Loved	Lewis Capaldi	Someone You Loved	Lewis Capaldi	BREACH	03:02
324	I Don't Think That I Like Her	Charlie Puth	I Don't Think That I Like Her	Charlie Puth	I Don't Think That I Like Her	03:08
325	Thinking out Loud	Ed Sheeran	Thinking out Loud	Ed Sheeran	x (Deluxe Edition)	04:41
326	Dance The Night	Dua Lipa	Dance The Night（电影《芭比》原声）	Dua Lipa	Barbie The Album	02:56
327	Lemon Tree	Fool's Garden	Lemon Tree（柠檬树）	Fool's Garden	Dish of the Day	03:11
328	What Do I Know?	Ed Sheeran	What Do I Know?	Ed Sheeran	÷ (Deluxe)	03:57
329	Halo	Beyoncé	Halo	Beyoncé	I AM...SASHA FIERCE	04:21
330	Here's to Never Growing Up	Avril Lavigne	Here's to Never Growing Up	Avril Lavigne	Avril Lavigne (Expanded Edition)	03:34
331	Bitchin' Summer	Avril Lavigne	Bitchin' Summer	Avril Lavigne	Avril Lavigne (Expanded Edition)	
332	drop dead	Olivia Rodrigo	drop dead	Olivia Rodrigo	drop dead	03:44
333	A Thousand Years	Christina Perri	A Thousand Years	Christina Perri	A Thousand Years	04:45
334	Call Me Maybe	Carly Rae Jepsen	Call Me Maybe	Carly Rae Jepsen	Call Me Maybe	03:13
335	Send My Love	Adele	Send My Love (To Your New Lover)	Adele	Send My Love (To Your New Lover)	03:43
336	Poker Face	Lady Gaga	Poker Face	Lady Gaga	Poker Face	03:57
337	stupid song	Olivia Rodrigo	stupid song	Olivia Rodrigo	you seem pretty sad for a girl so in love	03:29
338	Nonsense	Sabrina Carpenter	Nonsense	Sabrina Carpenter	emails i can't send	02:43
339	twilight zone	Ariana Grande	twilight zone	Ariana Grande	eternal sunshine deluxe: brighter days ahead	03:18
340	Another Day Of Sun	La La Land Cast	Another Day Of Sun (From "La La Land" Soundtrack)	La La Land Cast	La La Land (Original Motion Picture Soundtrack)	03:48
341	WILDFLOWER	Billie Eilish	WILDFLOWER	Billie Eilish	HIT ME HARD AND SOFT	04:21
342	Heat Waves	Glass Animals	Heat Waves	Glass Animals	ADULTHOOD	03:58
343	Good Time	Owl City	Good Time	Owl City / Carly Rae Jepsen	Good Time	03:25
344	Running Up That Hill	Meg Myers	Running Up That Hill	Meg Myers	Running Up That Hill	04:23
345	As It Was	Harry Styles	As It Was	Harry Styles	Harry's House	
346	Kill Bill	SZA	Kill Bill	SZA	SOS	02:33
347	BIRDS OF A FEATHER	Billie Eilish	BIRDS OF A FEATHER（比翼之鸟）	Billie Eilish	HIT ME HARD AND SOFT	03:30
348	Die With A Smile	Lady Gaga	Die With A Smile	Lady Gaga / Bruno Mars	Die With A Smile	04:11
349	Wolves	Selena Gomez	Wolves	Selena Gomez / Marshmello	Wolves	03:17
350	Hello	Adele	Hello	Adele	Hello	04:55
351	Love In The Dark	Adele	Love In The Dark	Adele	25	04:45
352	Galway Girl	Ed Sheeran	Galway Girl	Ed Sheeran	÷ (Deluxe)	02:50
353	Umbrella	Rihanna	Umbrella	Rihanna / JAY-Z	Good Girl Gone Bad: Reloaded	04:35
354	Love The Way You Lie	Eminem	Love The Way You Lie	Eminem / Rihanna	Life After Recovery	04:23
355	This Is What You Came For	Calvin Harris	This Is What You Came For	Calvin Harris / Rihanna	This Is What You Came For	03:42
356	Counting Stars	OneRepublic	Counting Stars（数星星）	OneRepublic	Native (Deluxe Version)	04:16
357	One More Night	Maroon 5	One More Night	Maroon 5	Overexposed (Deluxe)	03:39
358	Maps	Maroon 5	Maps	Maroon 5	Maps	03:10
360	Moves Like Jagger	Maroon 5	Moves Like Jagger	Maroon 5 / Christina Aguilera	Moves Like Jagger	03:21
361	Love Yourself	Justin Bieber	Love Yourself	Justin Bieber	Purpose (Deluxe)	03:53
362	STAY	The Kid LAROI	STAY	The Kid LAROI / Justin Bieber	STAY	02:21
363	Sorry	Justin Bieber	Sorry	Justin Bieber	Sorry	03:20
364	Payphone	Maroon 5	Payphone	Maroon 5 / Wiz Khalifa	Payphone	03:52
365	Sugar	Maroon 5	Sugar	Maroon 5	V	03:54
366	We Found Love	Rihanna	We Found Love	Rihanna / Calvin Harris	We Found Love (The Remixes)	03:35
367	Apologize	OneRepublic	Apologize	OneRepublic	Dreaming Out Loud (Tour Edition)	03:28
368	The Monster	Eminem	The Monster	Eminem / Rihanna	The Monster	04:10
369	Yellow	Coldplay	Yellow	Coldplay	Yellow	04:26
370	Something Just Like This	The Chainsmokers	Something Just Like This	The Chainsmokers / Coldplay	Something Just Like This	04:07
371	Gold	Kiiara	Gold	Kiiara	Gold	
372	Roar	Katy Perry	Roar	Katy Perry	Roar	
373	Firework	Katy Perry	Firework	Katy Perry	Firework	03:48
374	Beauty And A Beat	Justin Bieber	Beauty And A Beat	Justin Bieber / Nicki Minaj	Believe (Deluxe Edition)	03:47
375	Baby	Justin Bieber	Baby	Justin Bieber / Ludacris	Baby	03:36
376	Peaches	Justin Bieber	Peaches	Justin Bieber / Daniel Caesar / GIVĒON	Justice (中国豪华特别版)	03:18
377	What Do You Mean?	Justin Bieber	What Do You Mean?	Justin Bieber	What Do You Mean?	03:27
378	Perfect	Ed Sheeran	Perfect	Ed Sheeran	÷ (Deluxe)	04:23
379	Shape of You	Ed Sheeran	Shape of You	Ed Sheeran	Shape of You	03:53
380	Raise Your Glass	P!nk	Raise Your Glass	P!nk	Raise Your Glass	03:23
381	Just Like Fire	P!nk	Just Like Fire（电影《爱丽丝梦游仙境2：镜中奇遇记》主题曲）	P!nk	Alice Through The Looking Glass (Original Motion Picture Soundtrack)	03:35
382	Try	P!nk	Try	P!nk	Try	04:08
383	If I Die Young	The Band Perry	If I Die Young	The Band Perry	Double Cream 5: 20 Years of Nashville #1's 1992-2012	03:43
384	Whistle	Flo Rida	Whistle	Flo Rida	Whistle	03:44
385	Love Story	Taylor Swift	Love Story	Taylor Swift	Fearless	03:56
386	Teenage Dream	Katy Perry	Teenage Dream	Katy Perry	Teenage Dream	
387	Who Says	Selena Gomez	Who Says	Selena Gomez	For You	03:15
388	S&M	Rihanna	S&M	Rihanna	Loud	04:03
389	Diamonds	Rihanna	Diamonds	Rihanna	Diamonds	03:45
390	All About That Bass	Meghan Trainor	All About That Bass	Meghan Trainor	All About That Bass	03:07
391	All of Me	John Legend	All of Me	John Legend	Love In The Future	04:29
392	Talking to the Moon	Bruno Mars	Talking to the Moon	Bruno Mars	It's Better If You Don't Understand	03:27
393	Because of You	Kelly Clarkson	Because of You	Kelly Clarkson	Because Of You	03:39
394	Stronger	Kelly Clarkson	Stronger	Kelly Clarkson	Kids Top 20 - De Grootste Hits Van 2013 - Summer Edition 2013	03:41
395	When We Were Young	Adele	When We Were Young	Adele	When We Were Young	04:50
396	Someone Like You	Adele	Someone Like You	Adele	Someone Like You	04:45
397	Rolling in the Deep	Adele	Rolling in the Deep	Adele	Rolling in the Deep	03:48
398	One Call Away	Charlie Puth	One Call Away	Charlie Puth	Nine Track Mind	03:14
399	Love Me Like You Do	Ellie Goulding	Love Me Like You Do（电影《五十度灰》主题曲）	Ellie Goulding	Love Me Like You Do (From "Fifty Shades of Grey")	04:10
400	Uptown Funk	Mark Ronson	Uptown Funk	Mark Ronson / Bruno Mars	Uptown Funk	
401	Just the Way You Are	Bruno Mars	Just the Way You Are	Bruno Mars	The Brit Awards Album 2011	03:40
402	See You Again	Wiz Khalifa	See You Again（有缘再见）	Wiz Khalifa / Charlie Puth	Furious 7: Original Motion Picture Soundtrack (Deluxe)	03:49
403	We Don't Talk Anymore	Charlie Puth	We Don't Talk Anymore (Mr. Collipark Remix)	Charlie Puth / Selena Gomez / Mr. Collipark	We Don't Talk Anymore (Mr. Collipark Remix)	04:14
404	Attention	Charlie Puth	Attention	Charlie Puth	Voicenotes	03:28
405	There's Nothing Holdin' Me Back	Shawn Mendes	There's Nothing Holdin' Me Back	Shawn Mendes	There's Nothing Holdin' Me Back	03:18
406	We Don't Talk Anymore	Charlie Puth	We Don't Talk Anymore	Charlie Puth / Selena Gomez	Nine Track Mind (Deluxe Edition)	03:37
407	Fearless	Taylor Swift	Fearless	Taylor Swift	Fearless	04:01
408	Starlight	Taylor Swift	Starlight	Taylor Swift	Red	03:40
409	Everything Has Changed	Taylor Swift	Everything Has Changed	Taylor Swift / Ed Sheeran	Red	04:05
410	Stay Stay Stay	Taylor Swift	Stay Stay Stay	Taylor Swift	Red	03:25
411	We Are Never Ever Getting Back Together	Taylor Swift	We Are Never Ever Getting Back Together	Taylor Swift	Red	03:13
412	I Almost Do	Taylor Swift	I Almost Do	Taylor Swift	Red	04:04
413	22	Taylor Swift	22	Taylor Swift	Red	03:52
414	All Too Well	Taylor Swift	All Too Well（记忆犹新）	Taylor Swift	Red	05:29
415	I Knew You Were Trouble.	Taylor Swift	I Knew You Were Trouble.	Taylor Swift	Red	03:39
416	Red	Taylor Swift	Red	Taylor Swift	Red	03:43
417	State Of Grace	Taylor Swift	State Of Grace	Taylor Swift	Red	04:55
418	You Are In Love	Taylor Swift	You Are In Love	Taylor Swift	1989 (Deluxe)	04:27
419	Wonderland	Taylor Swift	Wonderland	Taylor Swift	1989 (Deluxe)	04:05
420	Clean	Taylor Swift	Clean	Taylor Swift	1989 (Deluxe)	04:31
421	I Know Places	Taylor Swift	I Know Places	Taylor Swift	1989 (Deluxe)	03:15
422	How You Get The Girl	Taylor Swift	How You Get The Girl	Taylor Swift	1989 (Deluxe)	04:07
423	Wildest Dreams	Taylor Swift	Wildest Dreams	Taylor Swift	1989 (Deluxe)	03:40
424	Bad Blood	Taylor Swift	Bad Blood	Taylor Swift	1989 (Deluxe)	03:31
425	I Wish You Would	Taylor Swift	I Wish You Would	Taylor Swift	1989 (Deluxe)	03:27
426	Shake It Off	Taylor Swift	Shake It Off	Taylor Swift	1989 (Deluxe)	03:39
427	All You Had To Do Was Stay	Taylor Swift	All You Had To Do Was Stay	Taylor Swift	1989 (Deluxe)	03:13
428	Out Of The Woods	Taylor Swift	Out Of The Woods	Taylor Swift	1989 (Deluxe)	03:55
429	Style	Taylor Swift	Style	Taylor Swift	1989 (Deluxe)	03:51
430	Blank Space	Taylor Swift	Blank Space	Taylor Swift	1989 (Deluxe)	03:51
431	Welcome To New York	Taylor Swift	Welcome To New York	Taylor Swift	1989 (Deluxe)	03:32
432	Daylight	Taylor Swift	Daylight	Taylor Swift	Lover	04:53
433	It's Nice To Have A Friend	Taylor Swift	It's Nice To Have A Friend	Taylor Swift	Lover	02:30
434	ME!	Taylor Swift	ME!	Taylor Swift / Brendon Urie	Lover	03:13
435	Afterglow	Taylor Swift	Afterglow	Taylor Swift	Lover	03:43
436	You Need To Calm Down	Taylor Swift	You Need To Calm Down	Taylor Swift	Lover	02:51
437	False God	Taylor Swift	False God	Taylor Swift	Lover	03:20
438	Soon You'll Get Better	Taylor Swift	Soon You'll Get Better	Taylor Swift / The Chicks	Lover	03:21
439	London Boy	Taylor Swift	London Boy	Taylor Swift	Lover	03:10
440	Cornelia Street	Taylor Swift	Cornelia Street	Taylor Swift	Lover	04:47
441	Paper Rings	Taylor Swift	Paper Rings	Taylor Swift	Lover	03:42
442	Miss Americana & The Heartbreak Prince	Taylor Swift	Miss Americana & The Heartbreak Prince	Taylor Swift	Lover	03:54
443	I Think He Knows	Taylor Swift	I Think He Knows	Taylor Swift	Lover	02:53
444	The Archer	Taylor Swift	The Archer	Taylor Swift	Lover	03:31
445	The Man	Taylor Swift	The Man	Taylor Swift	Lover	03:10
446	Lover	Taylor Swift	Lover	Taylor Swift	Lover	03:41
447	Cruel Summer	Taylor Swift	Cruel Summer	Taylor Swift	Lover	02:58
448	I Forgot That You Existed	Taylor Swift	I Forgot That You Existed	Taylor Swift	Lover	02:50
449	Believer	Imagine Dragons	Believer	Imagine Dragons	Evolve	03:24
