81	多远都要在一起	G.E.M.邓紫棋	多远都要在一起	G.E.M.邓紫棋	新的心跳	03:36
82	唯一	G.E.M.邓紫棋	唯一	G.E.M.邓紫棋	T.I.M.E.	04:13
83	遇见	孙燕姿	遇见（电影《向左走向右走》主题曲）	孙燕姿	白羽毛之恋 华语典藏情歌 Vol.2	03:29
84	半句再见	孙燕姿	半句再见（电影《六弄咖啡馆》主题曲）	孙燕姿	半句再见	04:02
85	开始懂了	孙燕姿	开始懂了	孙燕姿	我要的幸福 (My Desired Happiness)	04:31
86	雨天	孙燕姿	雨天	孙燕姿	My Story,Your Song 经典全记录	
87	我怀念的	孙燕姿	我怀念的	孙燕姿	逆光	04:49
88	我不难过	孙燕姿	我不难过	孙燕姿	未完成	05:20
89	致青春	王菲	致青春（电影《致我们终将逝去的青春》主题曲）	王菲	致青春	03:06
90	传奇	王菲	传奇	王菲	传奇	04:56
91	匆匆那年	王菲	匆匆那年 (Fleet of Time)	王菲	匆匆那年	04:00
92	红豆	王菲	红豆	王菲	唱游	04:16
93	岁月如歌	陈奕迅	岁月如歌（无线电视剧《冲上云霄》主题曲）	陈奕迅	Live For Today	03:27
94	因为爱情	陈奕迅	因为爱情（电影《将爱情进行到底》主题曲）	陈奕迅 / 王菲	Stranger Under My Skin	03:38
95	孤勇者	陈奕迅	孤勇者（动画剧集《英雄联盟：双城之战》中文主题曲）	陈奕迅	孤勇者	04:16
96	浮夸	陈奕迅	浮夸	陈奕迅	U87	04:43
97	十年	陈奕迅	十年	陈奕迅	黑白灰	03:25
98	十面埋伏	陈奕迅	十面埋伏	陈奕迅	The Best Moment	03:52
99	淘汰	陈奕迅	淘汰	陈奕迅	认了吧	04:45
100	爱情转移	陈奕迅	爱情转移（电影《爱情呼叫转移》主题曲）	陈奕迅	认了吧	
101	孤独患者	陈奕迅	孤独患者	陈奕迅	?	04:31
102	富士山下	陈奕迅	富士山下	陈奕迅	What's Going On...?	04:18
103	最佳损友	陈奕迅	最佳损友	陈奕迅	Life Continues...	03:53
104	她说	林俊杰	她说 (She Says)	林俊杰	她说 概念自选辑	05:20
105	背对背拥抱	林俊杰	背对背拥抱 (Back to Back)	林俊杰	他是...JJ林俊杰	03:56
106	修炼爱情	林俊杰	修炼爱情 (Practice Love)	林俊杰	因你而在	04:47
107	可惜没如果	林俊杰	可惜没如果 (If Only...)	林俊杰	新地球 - 人 (Special Edition)	04:58
108	愿与愁	林俊杰	愿与愁	林俊杰	愿与愁	03:51
109	Always Online	林俊杰	Always Online（《Cries In A Distance》国语版）	林俊杰	JJ陆	03:45
110	江南	林俊杰	江南 (River South)	林俊杰	第二天堂	04:27
111	Stick Season	Noah Kahan	Stick Season	Noah Kahan	Stick Season	03:02
112	Until I Found You	Stephen Sanchez	Until I Found You	Stephen Sanchez	Until I Found You	
113	Best Day Of My Life	American Authors	Best Day Of My Life	American Authors	American Authors	
114	I'm Yours	Jason Mraz	I'm Yours	Jason Mraz	I'm Yours	04:02
115	Lemon Tree	Fool's Garden	Lemon Tree（柠檬树）	Fool's Garden	High Times - Best Of	03:07
116	Wrecking Ball	Miley Cyrus	Wrecking Ball	Miley Cyrus	Wrecking Ball	03:43
117	Whataya Want from Me	P!nk	Whataya Want from Me	P!nk	Greatest Hits...So Far!!!	03:46
118	All Out Of Fight	P!nk	All Out Of Fight	P!nk	TRUSTFALL (Tour Deluxe Edition)	03:32
119	Here's To Never Growing Up	Avril Lavigne	Here's To Never Growing Up	Avril Lavigne	Here's To Never Growing Up	03:34
120	Innocence	Avril Lavigne	Innocence	Avril Lavigne	The Best Damn Thing (Deluxe Edition)	03:53
121	Girlfriend	Avril Lavigne	Girlfriend	Avril Lavigne	Girlfriend EP	03:37
122	Complicated	Avril Lavigne	Complicated	Avril Lavigne	Let Go	04:05
123	Catch My Breath	Kelly Clarkson	Catch My Breath	Kelly Clarkson	Greatest Hits - Chapter One	04:10
124	Secrets	OneRepublic	Secrets	OneRepublic	Secrets	03:44
125	Pay That Toll	OneRepublic	Pay That Toll	OneRepublic	Pay That Toll	02:47
126	In the End	Linkin Park	In the End（结果到头来）	Linkin Park	Hybrid Theory (混合理论)	03:36
127	Numb	Linkin Park	Numb（麻木不仁）	Linkin Park	Numb	
128	Battle Symphony	Linkin Park	Battle Symphony	Linkin Park	One More Light	03:36
129	One More Light	Linkin Park	One More Light（又一道光芒）	Linkin Park	One More Light	04:15
130	Bones	Imagine Dragons	Bones	Imagine Dragons	Bones	02:45
131	Believer	Imagine Dragons	Believer	Imagine Dragons / Lil Wayne	Believer	03:39
132	The Scientist	Coldplay	The Scientist	Coldplay	The Scientist	05:11
133	Paradise	Coldplay	Paradise	Coldplay	Paradise	04:38
134	A Sky Full of Stars	Coldplay	A Sky Full of Stars	Coldplay	Ghost Stories	04:27
135	Viva La Vida	Coldplay	Viva La Vida（生命万岁）	Coldplay	Viva La Vida or Death and All His Friends	04:02
136	We Will Rock You	Queen	We Will Rock You	Queen	Queen Rocks	02:02
137	Empire State Of Mind	JAY-Z	Empire State Of Mind（纽约之心）	JAY-Z / Alicia Keys	NRJ Hit Music Only!2010	04:36
138	California Gurls	Katy Perry	California Gurls	Katy Perry / Snoop Dogg	2011 Grammy Nominees（格莱美2011）	03:55
139	Still D.R.E.	Dr. Dre	Still D.R.E.	Dr. Dre / Snoop Dogg	2001	04:30
140	NUMB	XXXTENTACION	NUMB	XXXTENTACION	?	03:06
141	Jocelyn Flores	XXXTENTACION	Jocelyn Flores	XXXTENTACION	17	01:59
142	Everybody Dies In Their Nightmares	XXXTENTACION	Everybody Dies In Their Nightmares	XXXTENTACION	17	01:35
143	SAD!	XXXTENTACION	SAD!	XXXTENTACION	?	02:46
144	Run Tha Streetz	2Pac	Run Tha Streetz	2Pac / Michel'le / Storm / Mutah	All Eyez On Me	05:16
145	HUMBLE.	Kendrick Lamar	HUMBLE.	Kendrick Lamar	HUMBLE.	03:01
146	Not Like Us	Kendrick Lamar	Not Like Us	Kendrick Lamar	Not Like Us	04:34
147	Party Rock Anthem	LMFAO	Party Rock Anthem	LMFAO / Lauren Bennett / GoonRock	Party Rock Anthem	04:24
148	INDUSTRY BABY	Lil Nas X	INDUSTRY BABY	Lil Nas X / Jack Harlow	INDUSTRY BABY	03:32
149	Old Town Road	Lil Nas X	Old Town Road	Lil Nas X	7 EP	01:53
150	One Dance	Drake	One Dance	Drake / WizKid / Kyla	One Dance	02:54
151	Better Now	Post Malone	Better Now	Post Malone	beerbongs & bentleys	03:51
152	Sunflower	Post Malone	Sunflower（电影《蜘蛛侠：平行宇宙》迈尔斯主题曲）	Post Malone / Swae Lee	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the ...	02:38
153	Rap God	Eminem	Rap God	Eminem	Rap God	06:03
154	Without Me	Eminem	Without Me	Eminem	The Singles (Eminem album)	
155	Stan	Eminem	Stan	Eminem / Dido	The Marshall Mathers LP	06:44
156	Lose Yourself	Eminem	Lose Yourself	Eminem	8 Mile	05:21
157	Water	Tyla	Water	Tyla	Water	03:20
158	Pink + White	Frank Ocean	Pink + White	Frank Ocean	Blonde	03:04
159	Dancing in the Smoke	GIVĒON	Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Season 2)	GIVĒON	Dancing in the Smoke (From the Netflix Series "Nobody Wants This" Se...	03:42
160	HEARTBREAK ANNIVERSARY	GIVĒON	HEARTBREAK ANNIVERSARY	GIVĒON	HEARTBREAK ANNIVERSARY	03:16
161	God's Plan	Drake	God's Plan	Drake	Scorpion	03:18
162	Chicago Freestyle	Drake	Chicago Freestyle（风城随笔）	Drake / GIVĒON	Dark Lane Demo Tapes	03:40
163	Work	Derra	Work (Derra Flip)	Derra / Drake / Rihanna	Work (Derra Flip)	03:16
164	Popular	The Weeknd	Popular (Music from the HBO Original Series)（剧集《偶像漩涡》原声）	The Weeknd / Playboi Carti / Madonna	Popular (Music from the HBO Original Series)	03:35
165	One Of The Girls	The Weeknd	One Of The Girls（剧集《偶像漩涡》原声）	The Weeknd / JENNIE / Lily-Rose Depp	The Idol Episode 4 (Music from the HBO Original Series)	04:04
166	About Damn Time	Lizzo	About Damn Time	Lizzo	About Damn Time	03:11
167	Best Part	Daniel Caesar	Best Part	Daniel Caesar / H.E.R.	H.E.R.	03:30
168	Leave The Door Open	Bruno Mars	Leave The Door Open	Bruno Mars / Anderson .Paak / Silk Sonic	An Evening With Silk Sonic	
169	Say So	Doja Cat	Say So	Doja Cat	Hot Pink	03:57
170	Kiss Me More	Doja Cat	Kiss Me More	Doja Cat / SZA	Kiss Me More	03:28
171	SOS	SZA	SOS	SZA	SOS	01:57
172	Good Days	SZA	Good Days	SZA	Good Days	04:38
173	Snooze	SZA	Snooze	SZA	SOS	03:21
174	Halo	Beyoncé	Halo	Beyoncé	Halo	04:21
175	Give Me Everything	Pitbull	Give Me Everything	Pitbull / Ne-Yo / Afrojack / Nayer	Planet Pit (Deluxe Version)	04:15
176	Unity	TheFatRat	Unity	TheFatRat	Unity	04:09
177	Salt	Ava Max	Salt	Ava Max	Heaven & Hell	03:00
178	Titanium	David Guetta	Titanium	David Guetta / Sia	Best Of...	03:57
179	Firestone	Kygo	Firestone	Kygo / Conrad Sewell	Firestone	04:31
180	On My Way	Alan Walker	On My Way（《和平精英》盛夏推广曲）	Alan Walker / Sabrina Carpenter / Farruko	On My Way	
181	Hymn For The Weekend	Alan Walker	Hymn For The Weekend (Remix)	Alan Walker / Coldplay	Hymn For The Weekend [Remix]	
182	Fade	Alan Walker	Fade	Alan Walker	Origins	04:24
183	Move Your Body	Alan Walker	Move Your Body (Alan Walker Remix)	Alan Walker / Sia	This Is Acting (Deluxe Version)	03:37
184	The Spectre	Alan Walker	The Spectre（幽魂）	Alan Walker	The Spectre	03:13
185	All Falls Down	Alan Walker	All Falls Down（一切陨落）	Alan Walker / Noah Cyrus / Digital Farm Animals / Juliander	All Falls Down	03:19
186	Alone	Alan Walker	Alone	Alan Walker	Alone	02:38
187	The Middle	Zedd	The Middle	Zedd / Grey / Maren Morris	The Middle	03:04
188	Stay	Zedd	Stay（片刻停留）	Zedd / Alessia Cara	Stay	03:30
189	Clarity	Zedd	Clarity	Zedd / Foxes	Clarity	04:31
190	Paris	The Chainsmokers	Paris	The Chainsmokers	Paris	03:41
191	Don't Let Me Down	The Chainsmokers	Don't Let Me Down	The Chainsmokers / Daya	Don't Let Me Down	03:28
192	Silence	Marshmello	Silence	Marshmello / Khalid	Silence	03:00
193	Animals	Martin Garrix	Animals (Original Mix)	Martin Garrix	Animals	05:03
194	Scared to Be Lonely	Martin Garrix	Scared to Be Lonely	Martin Garrix / Dua Lipa	Scared to Be Lonely	03:40
195	In the Name of Love	Martin Garrix	In the Name of Love（以爱之名）	Martin Garrix / Bebe Rexha	In the Name of Love	
196	One Kiss	Calvin Harris	One Kiss	Calvin Harris / Dua Lipa	One Kiss	03:29
197	Summer	久石让	Summer（电影《菊次郎的夏天》主题曲）	久石让	ENCORE	02:33
198	Feel So Close	Calvin Harris	Feel So Close (Radio Edit)	Calvin Harris	Feel So Close	03:25
199	Hey Brother	Avicii	Hey Brother	Avicii / Dan Tyminski	True	04:17
200	The Nights	Avicii	The Nights	Avicii / Nicholas Furlong	The Days / Nights (Remixes /EP)	02:56
201	Wake Me Up	Avicii	Wake Me Up	Avicii / Aloe Blacc	True	04:09
202	Let It Be	The Beatles	Let It Be (Remastered)	The Beatles	Let It Be (Remastered)	04:03
203	Yesterday	The Beatles	Yesterday (Remastered)	The Beatles	Help! (Remastered)	02:03
204	Hey Jude	The Beatles	Hey Jude	The Beatles	Love	03:58
205	How to Save a Life	The Fray	How to Save a Life	The Fray	How To Save A Life	04:23
206	Chasing Cars	Snow Patrol	Chasing Cars	Snow Patrol	Chasing Cars	04:26
207	All I Want	Kodaline	All I Want	Kodaline	In A Perfect World	05:05
208	Sparks	Coldplay	Sparks	Coldplay	Parachutes	03:47
209	Falling	Harry Styles	Falling	Harry Styles	Fine Line	
210	Make You Feel My Love	Adele	Make You Feel My Love	Adele	Make You Feel My Love	03:32
211	Hey There Delilah	Plain White T's	Hey There Delilah	Plain White T's	2008 Grammy Nominees	03:52
212	The Night We Met	Lord Huron	The Night We Met	Lord Huron / Phoebe Bridgers	13 Reasons Why (Season 2)	03:28
213	When You Say Nothing At All	Ronan Keating	When You Say Nothing At All（电影《新娘百分百》插曲）	Ronan Keating	Notting Hill (Music from the Motion Picture)（诺丁山）	04:16
214	Shallow	Lady Gaga	Shallow（电影《一个明星的诞生》主题曲）	Lady Gaga / Bradley Cooper	A Star Is Born Soundtrack	03:35
215	Right Here Waiting	Richard Marx	Right Here Waiting	Richard Marx	Ballads	04:24
216	I Love You 3000	Stephanie Poetri	I Love You 3000	Stephanie Poetri	I Love You 3000	03:29
217	You Raise Me Up	Westlife	You Raise Me Up	Westlife	You Raise Me Up	04:01
218	My Love	Westlife	My Love	Westlife	Unbreakable, Vol. 1 - The Greatest Hits	03:51
219	Can't Help Falling in Love	Elvis Presley	Can't Help Falling in Love	Elvis Presley	Suspicious Minds: 60 Greatest Hits of Elvis Presley	03:02
220	Burn	Ellie Goulding	Burn	Ellie Goulding	Burn - Single	03:51
221	Stay With Me	Sam Smith	Stay With Me	Sam Smith	Stay With Me	
222	Say Something	A Great Big World	Say Something	A Great Big World	Is There Anybody Out There?	
223	Skyfall	Adele	Skyfall (Full Length)（电影《007：大破天幕杀机》主题曲）	Adele	Skyfall (Full Length)	04:46
224	Arcade	Duncan Laurence	Arcade	Duncan Laurence	Arcade	03:05
225	Too Good At Goodbyes	Sam Smith	Too Good At Goodbyes	Sam Smith	The Thrill Of It All (Special Edition)	03:21
226	I'm Not the Only One	Sam Smith	I'm Not the Only One	Sam Smith	In The Lonely Hour	03:59
227	Let Her Go	Passenger	Let Her Go	Passenger	All The Little Lights	04:12
228	Impossible	James Arthur	Impossible	James Arthur	Impossible	03:29
229	Say You Won't Let Go	James Arthur	Say You Won't Let Go	James Arthur	Back from the Edge	03:29
230	Before You Go	Lewis Capaldi	Before You Go	Lewis Capaldi	Before You Go	03:35
231	All I Ask	Adele	All I Ask	Adele	25	04:31
232	Set Fire to the Rain	Adele	Set Fire to the Rain	Adele	21	04:02
233	Easy On Me	Adele	Easy On Me	Adele	30	03:44
234	It Will Rain	Bruno Mars	It Will Rain	Bruno Mars	It Will Rain	04:17
235	When I Was Your Man	Bruno Mars	When I Was Your Man	Bruno Mars	Unorthodox Jukebox	03:33
236	Calm Down	Rema	Calm Down	Rema / Selena Gomez	Calm Down	03:59
237	What Was I Made For?	Billie Eilish	What Was I Made For? (From The Motion Picture "Barbie")（电影《芭比》原声）	Billie Eilish	Barbie The Album	03:42
238	bad guy	Billie Eilish	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	03:14
239	greedy	Tate McRae	greedy	Tate McRae	greedy	02:11
240	APT.	ROSÉ	APT.	ROSÉ / Bruno Mars	APT.	02:49
241	Lose Control	Teddy Swims	Lose Control	Teddy Swims	Lose Control	03:30
